20473 松 【文】siông 
20474 松 【替】sóng 
20475 枉 óng 
20476 析 sik 
20477 枕 tsím 
20478 果 【白】kué/ké 
20479 枝 【文】tsi 
20480 欣 him 
20481 歧 kî 
20482 沓 ta̍p 
20483 沸 huì 
20484 況 hóng 
20485 泄 siat 
20486 泊 po̍k 
20487 泊 phik 
20488 泌 pì 
20489 泓 hông 
20490 泛 huàn 
20491 泛 huān 
20492 泡 【替】pho̍k 
20493 泣 khip 
20494 泥 nî 
20495 泱 iong 
20496 泳 íng 
20497 炙 【替】tsià 
20498 爭 【文】tsing 
20499 爸 【替】pah 
20500 牧 bo̍k 
20501 物 【白】mih 
20502 狀 【文】tsiōng 
20503 狀 【文】tsōng 
20504 狎 a̍p 
20505 狐 hôo 
20506 狗 【文】kóo 
20507 玩 【文】guán 
20508 玩 【白】uán 
20509 玫 muî 
20510 的 tik 
20511 的 ti̍k 
20512 盲 【替】mê/mî 
20513 盲 môo 
20514 祀 【白】sāi 
20515 祀 【文】sū 
20516 秉 píng 
20517 穹 kiong 
20518 空 【文】khong 
20519 空 【白】khàng 
20520 空 【文】khòng 
20521 竺 tiok 
20522 羌 kiong 
20523 肥 【文】huî 
20524 肨 【替】hàng 
20525 肩 【文】kian 
20526 肩 【白】king 
20527 肴 ngâu 
20528 臥 ngōo 
20529 舍 sià 
20530 芙 【文】hû 
20531 芙 【白】phû 
20532 芝 tsi 
20533 芟 【文】san 
20534 芡 khiàm 
20535 芥 【文】kài 
20536 芥 【白】kè 
20537 芥 【白】kuà 
20538 芫 【替】iân 
20539 芬 hun 
20540 芭 pa 
20541 芳 【文】hong 
20542 芷 tsí 
20543 芹 khîn/khûn 
20544 芽 【文】gâ 
20545 虎 hu 
20546 虱 sat 
20547 迌 【替】thô 
20548 迎 【白】giâ 
20549 迎 【文】gîng 
20550 返 huán 
20551 邸 tí 
20552 采 tshái 
20554 長 【文】tsióng 
20556 長 【文】tiông 
20557 阻 tsóo 
20558 阿 【文】o 
20559 阿 oo 
20560 陀 tôo 
20561 附 hū 
20562 亮 liāng 
20563 亮 liōng 
20564 侮 bú 
20565 侯 【白】hâu 
20566 侯 【文】hôo 
20567 便 【白】pân 
20568 係 hē 
20569 促 【文】tshiok 
20570 俄 【白】gô 
20571 俄 【文】ngôo 
20572 俊 tsùn 
20573 俍 【替】lāng 
20574 俏 tshiàu 
20575 俐 lī 
20576 俘 hu 
20577 俚 lí 
20578 俞 jû/lû 
20579 俠 kiap 
20580 冒 mōo 
20581 則 tsik 
